auth1,booknum,original_publication_year,book_id,work_id,title,work_ratings_count
Terry Pratchett,1,1983.0,429,194190,"The Color of Magic (Discworld, #1; Rincewind #1)",225614
Fredrik Backman,1,2012.0,459,21619954,A Man Called Ove,243440
Margaret Wise Brown,1,1942.0,1984,2039654,The Runaway Bunny,54257
Greg Mortenson,1,2006.0,256,251800,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,288520
Rick Yancey,1,2009.0,9003,6647553,"The Monstrumologist (The Monstrumologist, #1)",14734
Lisa Genova,1,2007.0,333,2158906,Still Alice,245071
Maya Angelou,1,1969.0,317,1413589,I Know Why the Caged Bird Sings,284448
Tennessee Williams,1,1945.0,1186,1324493,The Glass Menagerie,93155
Maria Semple,1,2012.0,320,17626728,"Where'd You Go, Bernadette",268153
L. Frank Baum,1,1900.0,346,1993810,"The Wonderful Wizard of Oz (Oz, #1)",279400
Jennifer Weiner,1,2000.0,2589,3361285,Certain Girls (Cannie Shapiro #2),41186
Frances Mayes,1,1996.0,261,940760,Under the Tuscan Sun,281836
Frank Miller,1,1986.0,568,1104159,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",144349
Arthur Conan Doyle,1,1887.0,446,1997473,A Study in Scarlet,220115
Mario Puzo,1,1969.0,274,266624,The Godfather,270386
Jeff Kinney,1,2004.0,392,2617009,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",263269
Colleen McCullough,1,1977.0,311,816449,The Thorn Birds,266826
Erich Maria Remarque,1,1929.0,357,2662852,All Quiet on the Western Front,265789
Tana French,1,2007.0,473,3088141,"In the Woods (Dublin Murder Squad, #1)",201721
Haruki Murakami,1,1982.0,1500,2057170,"A Wild Sheep Chase (The Rat, #3)",63449
Terry Goodkind,1,1994.0,481,1323305,"Wizard's First Rule (Sword of Truth, #1)",188159
Art Spiegelman,1,1985.0,490,1947012,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",191615
Hunter S. Thompson,1,1966.0,2703,1999152,Hell's Angels: A Strange and Terrible Saga,33303
Umberto Eco,1,1980.0,424,3138328,The Name of the Rose,224974
Charles Dickens,1,1837.0,6190,3315230,The Pickwick Papers,20011
Rhonda Byrne,1,2006.0,303,2001660,"The Secret (The Secret, #1)",250945
Libba Bray,1,2003.0,586,2113193,"A Great and Terrible Beauty (Gemma Doyle, #1)",182107
Robin Hobb,1,1995.0,598,171715,"Assassin's Apprentice (Farseer Trilogy, #1)",162482
Janet Fitch,1,1999.0,326,1223333,White Oleander,254276
David Nicholls,1,2003.0,6840,16511713,Starter for Ten,15338
Jonathan Franzen,1,2001.0,658,941200,The Corrections,131271
Colleen Hoover,1,2012.0,539,21389085,"Hopeless (Hopeless, #1)",207777
Lee Child,1,1997.0,477,4511038,"Killing Floor (Jack Reacher, #1)",182703
Paula McLain,1,2011.0,421,13556031,The Paris Wife,207590
Virginia Woolf,1,1925.0,701,841320,Mrs. Dalloway,158347
Barack Obama,1,1995.0,659,86032,Dreams from My Father: A Story of Race and Inheritance,135594
Tahereh Mafi,1,2011.0,632,15333458,"Shatter Me (Shatter Me, #1)",200300
Jean M. Auel,1,1980.0,496,1584694,"The Clan of the Cave Bear (Earth's Children, #1)",187874
Gary Paulsen,1,1986.0,388,1158125,"Hatchet (Brian's Saga, #1)",231963
Laura Joffe Numeroff,1,1985.0,454,3132746,If You Give a Mouse a Cookie,198778
Jeanne DuPrau,1,2003.0,486,2285229,"The City of Ember (Book of Ember, #1)",204085
P.D. Eastman,1,1960.0,579,1837885,Are You My Mother?,177809
Simone Elkeles,1,2007.0,3943,531712,"Leaving Paradise (Leaving Paradise, #1)",38657
Ursula K. Le Guin,1,1968.0,593,113603,"A Wizard of Earthsea (Earthsea Cycle, #1)",167058
Kate Morton,1,2006.0,1361,1267740,The House at Riverton,80893
Leigh Bardugo,1,2012.0,1000,15093325,"Shadow and Bone (Shadow and Bone, #1)",149447
Elizabeth Kostova,1,2005.0,457,3061272,The Historian,207529
Garth Nix,1,1995.0,747,3312237,"Sabriel (Abhorsen,  #1)",146144
Ally Carter,1,2006.0,656,1008494,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",157885
Daniel Defoe,1,1719.0,478,604666,Robinson Crusoe,196865
Frances Hodgson Burnett,1,1886.0,9255,1085162,Little Lord Fauntleroy,14964
S.C. Stephens,1,2009.0,965,14321512,"Thoughtless (Thoughtless, #1)",123867
Alexander McCall Smith,1,1998.0,501,826298,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",189258
Lev Grossman,1,2009.0,584,6278977,The Magicians (The Magicians #1),165609
Seth Grahame-Smith,1,2009.0,1039,6072122,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",110252
Fannie Flagg,1,1981.0,9639,1483450,Daisy Fay and the Miracle Man ,11725
Billie Letts,1,1995.0,381,1649,Where the Heart Is,210368
Unknown,1,975.0,531,189503,Beowulf,184187
Patricia Cornwell,1,1990.0,511,1045067,"Postmortem (Kay Scarpetta, #1)",173045
James Frey,1,2003.0,383,3140930,A Million Little Pieces,189931
Jamie Ford,1,2009.0,396,3407295,Hotel on the Corner of Bitter and Sweet,211336
S.J. Watson,1,2011.0,445,14625976,Before I Go to Sleep,213136
Chelsea Handler,1,2004.0,1007,979256,My Horizontal Life: A Collection of One-Night Stands,89257
Sylvain Reynard,1,2011.0,904,15038778,"Gabriel's Inferno (Gabriel's Inferno, #1)",127883
Jandy Nelson,1,2010.0,1767,6798696,The Sky Is Everywhere,71175
Donna Tartt,1,1992.0,494,221359,The Secret History,189596
Laura Ingalls Wilder,1,1932.0,681,1200805,"Little House in the Big Woods (Little House, #1)",177991
Jon Scieszka,1,1989.0,627,120878,The True Story of the 3 Little Pigs,144093
Michael  Grant,1,2008.0,685,2543657,"Gone (Gone, #1)",153953
Scott Lynch,1,2006.0,746,2116675,"The Lies of Locke Lamora (Gentleman Bastard, #1)",138021
Ray Bradbury,1,1950.0,637,4636013,The Martian Chronicles,156328
Bill Watterson,1,1987.0,780,2110010,Calvin and Hobbes,118294
Justin Cronin,1,2010.0,665,2802546,"The Passage (The Passage, #1)",145772
Sophocles,1,-441.0,1521,1052210,"Antigone (The Theban Plays, #3)",78535
William Gibson,1,1981.0,9428,304846,Johnny Mnemonic,9793
Don Freeman,1,1948.0,549,261903,Corduroy,162337
Tammara Webber,1,2012.0,589,19113823,"Easy (Contours of the Heart, #1)",189861
Chris Cleave,1,2005.0,9715,688038,Incendiary,10904
Gary Chapman,1,1990.0,412,832090,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,195438
Pierce Brown,1,2014.0,858,21580644,"Red Rising (Red Rising, #1)",128188
Junot Díaz,1,1996.0,3911,3230496,Drown,25110
Neal Stephenson,1,1988.0,7003,934262,Zodiac,14803
Jared Diamond,1,1991.0,5765,1677648,The Third Chimpanzee: The Evolution and Future of the Human Animal,16369
Robert Munsch,1,1980.0,3078,844184,The Paper Bag Princess,39765
Robert T. Kiyosaki,1,1997.0,582,3366043,"Rich Dad, Poor Dad",173904
Melissa de la Cruz,1,2006.0,981,857698,"Blue Bloods (Blue Bloods, #1)",120989
Gustave Flaubert,1,1856.0,560,2766347,Madame Bovary,186553
Charles Frazier,1,1997.0,453,1006369,Cold Mountain,190137
Michael Crichton,1,1969.0,487,997271,The Andromeda Strain,178917
Richard Bach,1,1970.0,606,1743336,Jonathan Livingston Seagull,150767
Jenny  Lawson,1,2012.0,745,17995392,Let's Pretend This Never Happened: A Mostly True Memoir,130593
Susan Ee,1,2011.0,947,16435765,"Angelfall (Penryn & the End of Days, #1)",128028
Nicola Yoon,1,2015.0,1453,26540216,"Everything, Everything",150407
Kathleen Grissom,1,2010.0,482,7048306,The Kitchen House,179277
Corrie ten Boom,1,1971.0,513,878114,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,178722
Jeff Lindsay,1,2004.0,526,2113743,"Darkly Dreaming Dexter (Dexter, #1)",157862
Ruth Ware,1,2015.0,1508,42905101,"In a Dark, Dark Wood",84171
Rachel Hawkins,1,2010.0,1140,5354884,"Hex Hall (Hex Hall, #1)",114594
Stephen Hawking,1,1987.0,439,2192250,A Brief History of Time,181410
Chris Van Allsburg,1,1981.0,5253,428054,Jumanji,22344
Tim O'Brien,1,1978.0,9743,2242784,Going After Cacciato,9686
Tim LaHaye,1,1990.0,4542,122876,"Assassins (Left Behind, #6)",25041
John Berendt,1,1994.0,538,300461,Midnight in the Garden of Good and Evil,175681
Michael Scott,1,2007.0,923,3354660,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",115864
Melissa Marr,1,2007.0,875,296240,"Wicked Lovely (Wicked Lovely, #1)",136316
Michael Pollan,1,2001.0,2357,908398,The Botany of Desire: A Plant's-Eye View of the World,38145
Joe Abercrombie,1,2006.0,917,929009,"The Blade Itself (The First Law, #1)",107614
Laurell K. Hamilton,1,1993.0,1086,3349934,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",115174
Ludwig Bemelmans,1,1939.0,679,2666907,Madeline,158318
Mikhail Bulgakov,1,1925.0,4015,2470656,Heart of a Dog,25687
E.L. Konigsburg,1,1967.0,793,1384549,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,144108
E.M. Forster,1,1908.0,829,4574872,A Room with a View,122055
Bryan Lee O'Malley,1,2004.0,753,30220,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",130847
Brian Selznick,1,2007.0,808,527941,The Invention of Hugo Cabret,135507
Nick Hornby,1,1992.0,3476,2961920,Fever Pitch,28121
Beatrix Potter,1,1901.0,601,644171,The Tale of Peter Rabbit,165470
Marion Zimmer Bradley,1,1982.0,620,806813,"The Mists of Avalon (Avalon, #1)",163331
Neal Shusterman,1,2006.0,5016,674547,"Everlost (Skinjacker, #1)",25778
E.H. Gombrich,1,1936.0,9243,59819,A Little History of the World,11017
Kahlil Gibran,1,1912.0,7242,1676536,The Broken Wings,12435
Agatha Christie,1,1920.0,671,3366260,"The Mysterious Affair at Styles (Hercule Poirot, #1)",148617
Dave Eggers,1,2000.0,495,42857,A Heartbreaking Work of Staggering Genius,149779
Alex Flinn,1,2007.0,645,532177,"Beastly (Beastly, #1; Kendra Chronicles, #1)",157088
Vanessa Diffenbaugh,1,2011.0,567,14928278,The Language of Flowers,159668
Bill Martin Jr.,1,1967.0,728,810506,"Brown Bear, Brown Bear, What Do You See?",127162
Kody Keplinger,1,2010.0,830,7162394,The DUFF: Designated Ugly Fat Friend,146547
Hilary Mantel,1,2009.0,816,6278354,"Wolf Hall (Thomas Cromwell, #1)",118705
Jennifer Niven,1,2015.0,921,26113532,All the Bright Places,146542
Jonathan Stroud,1,2003.0,1155,1121748,"The Amulet of Samarkand (Bartimaeus, #1)",95452
Susanna Clarke,1,2004.0,682,3921305,Jonathan Strange & Mr Norrell,154688
Jonas Jonasson,1,2009.0,702,10365993,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,137865
Barbara Kingsolver,1,1988.0,860,1095121,"The Bean Trees (Greer Family, #1)",113568
V.C. Andrews,1,1979.0,851,3311885,"Flowers in the Attic (Dollanganger, #1)",122259
Patrick Ness,1,2008.0,1050,2124180,"The Knife of Never Letting Go (Chaos Walking, #1)",112899
Cynthia Hand,1,2011.0,1276,9621771,"Unearthly (Unearthly, #1)",104023
Maria V. Snyder,1,2005.0,1335,1180409,"Poison Study (Study, #1)",108615
Diana Wynne Jones,1,1977.0,6189,6594671,"Charmed Life (Chrestomanci, #1)",24251
Anthony Bourdain,1,2000.0,574,4219,Kitchen Confidential: Adventures in the Culinary Underbelly,145933
Toni Morrison,1,1970.0,763,1987778,The Bluest Eye,121866
Sharon Creech,1,1994.0,707,1237212,Walk Two Moons,132970
Arthur Miller,1,1947.0,7333,2537034,All My Sons,16124
Alice Clayton,1,2010.0,9448,14283194,"The Redhead Revealed (Redhead, #2)",17359
Tamora Pierce,1,1983.0,1480,1936544,"Alanna: The First Adventure (Song of the Lioness, #1)",91488
Louise Rennison,1,1999.0,849,108471,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",118893
Wilkie Collins,1,1859.0,1064,1303710,The Woman in White,103301
Jeffery Deaver,1,1997.0,726,2589896,"The Bone Collector (Lincoln Rhyme, #1)",125250
J.A. Redmerski,1,2012.0,938,21880254,"The Edge of Never (The Edge of Never, #1)",127686
Matthew Quick,1,2008.0,698,2915346,The Silver Linings Playbook,129408
Jostein Gaarder,1,1990.0,6070,113614,The Solitaire Mystery: A Novel About Family and Destiny,16872
Isabel Allende,1,1982.0,669,3374404,The House of the Spirits,140339
Chris Bohjalian,1,1997.0,625,3221872,Midwives,135534
Michael Ende,1,1973.0,3370,517524,Momo,34528
James Herriot,1,1972.0,994,2247074,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",98251
Neil Gaiman,1,1987.0,5439,944896,Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,18751
Sue Grafton,1,1982.0,823,1299178,"A is for Alibi (Kinsey Millhone, #1)",121225
Ellen Hopkins,1,2004.0,927,262457,"Crank (Crank, #1)",105823
Mary Roach,1,2003.0,758,1188203,Stiff: The Curious Lives of Human Cadavers,128102
Robert C. O'Brien,1,1971.0,738,839692,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",142350
Mary Kubica,1,2014.0,811,26747961,The Good Girl,122753
Veronica Rossi,1,2011.0,1413,15093785,"Under the Never Sky (Under the Never Sky, #1)",94313
Michael Connelly,1,1992.0,902,48262,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",108388
Jennifer Egan,1,2006.0,9588,1046035,The Keep,10425
Angie Sage,1,2005.0,1323,2215929,"Magyk (Septimus Heap, #1)",91089
Raina Telgemeier,1,2009.0,845,6582125,Smile,102804
Alan Bradley,1,2009.0,1024,4543476,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",109533
Beth Revis,1,2011.0,1302,13082532,"Across the Universe (Across the Universe, #1)",100748
Walter Isaacson,1,2003.0,1333,750514,Benjamin Franklin: An American Life,71804
Astrid Lindgren,1,1945.0,868,2056462,Pippi Longstocking,130305
Eckhart Tolle,1,1997.0,744,840520,The Power of Now: A Guide to Spiritual Enlightenment,112730
Albert Camus,1,1942.0,3342,855563,The Myth of Sisyphus and Other Essays,30895
Marie Kondō,1,2011.0,920,41711738,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,129409
Alexandra Bracken,1,2012.0,1505,15483434,"The Darkest Minds (The Darkest Minds, #1)",90772
Brian Jacques,1,1986.0,1431,486980,"Redwall (Redwall, #1)",81764
Jennifer E. Smith,1,2012.0,1297,15464655,The Statistical Probability of Love at First Sight,95856
Kathy Reichs,1,1997.0,922,866667,"Déjà Dead (Temperance Brennan, #1)",107636
Miguel Ruiz,1,1997.0,790,376130,The Four Agreements: A Practical Guide to Personal Freedom,112472
Francis Chan,1,2008.0,797,3239458,Crazy Love: Overwhelmed by a Relentless God,109134
Jasper Fforde,1,2001.0,1381,3436605,"The Eyre Affair (Thursday Next, #1)",94631
Willa Cather,1,1913.0,3585,467254,O Pioneers!,35489
Patti Smith,1,2010.0,775,332242,Just Kids,117400
Peter V. Brett,1,2008.0,1356,6589794,"The Warded Man (Demon Cycle, #1)",77643
Doris Kearns Goodwin,1,1994.0,4971,963376,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,27103
Karen Joy Fowler,1,2004.0,2136,3498000,The Jane Austen Book Club,56833
Larry Niven,1,1970.0,1191,924711,"Ringworld (Ringworld, #1)",82561
Kazuo Ishiguro,1,1986.0,8716,2464610,An Artist of the Floating World,12710
Rachel Cohn,1,2006.0,1583,929639,Nick & Norah's Infinite Playlist,71514
Frederick Forsyth,1,1971.0,989,1792180,The Day of the Jackal,89606
Mark Cotta Vaz,1,2009.0,1109,6657415,"New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2)",83068
Sarah Dessen,1,1996.0,2870,1070158,That Summer,46291
James S.A. Corey,1,2011.0,1263,13730452,"Leviathan Wakes (The Expanse, #1)",82905
Elena Ferrante,1,2011.0,1187,19174054,My Brilliant Friend (The Neapolitan Novels #1),88433
Justin Halpern,1,2010.0,787,10860635,Sh*t My Dad Says,116368
Helen Simonson,1,2010.0,906,6837577,Major Pettigrew's Last Stand,109311
Amor Towles,1,2011.0,1190,14950407,Rules of Civility,85132
Annie Proulx,1,1993.0,919,310090,The Shipping News,109047
Shannon Hale,1,2003.0,1175,2715267,"The Goose Girl (The Books of Bayern, #1)",97013
Ilona Andrews,1,2007.0,2105,38381,"Magic Bites (Kate Daniels, #1)",75243
Ruta Sepetys,1,2011.0,1192,10870318,Between Shades of Gray,101286
Susan Beth Pfeffer,1,2006.0,1095,206925,"Life As We Knew It (Last Survivors, #1)",98669
Ayn Rand,1,1936.0,4298,1711534,We the Living,22571
James C. Collins,1,1994.0,2220,147916,Built to Last: Successful Habits of Visionary Companies,40804
Elizabeth George Speare,1,1958.0,1061,2904401,The Witch of Blackbird Pond,112667
Bill Willingham,1,2001.0,1077,1138855,"Fables, Vol. 1: Legends in Exile",104260
Lauren DeStefano,1,2011.0,1523,13392566,"Wither (The Chemical Garden, #1)",88657
Salman Rushdie,1,1981.0,1055,1024288,Midnight's Children,84514
Trenton Lee Stewart,1,2007.0,1293,80497,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",93495
Julian Barnes,1,2005.0,9240,2270654,Arthur & George,12297
Jules Verne,1,1863.0,7616,2308685,"Five Weeks in a Balloon (Extraordinary Voyages, #1)",14905
Huntley Fitzpatrick,1,2012.0,1080,17271423,My Life Next Door,108389
Lionel Shriver,1,2003.0,896,3106720,We Need to Talk About Kevin,113939
Michael   Lewis,1,1989.0,1683,855103,Liar's Poker,53700
Thomas Hardy,1,1874.0,1088,914540,Far from the Madding Crowd,97459
H.A. Rey,1,1941.0,876,561754,Curious George,112467
